"","lea_street","City","lea_state","lea_zip"
"114","5740 East River Road","Tucson","AZ","85750"
"115","11440 North 136th Street","Scottsdale","AZ","85259"
"116","7975 North Hayden Road","Scottsdale","AZ","85258"
"117","7975 North Hayden Road","Scottsdale","AZ","85258"
"118","1901 Prescott Lakes Parkway","Prescott","AZ","86301"
"119","7975 North Hayden Road","Scottsdale","AZ","85258"
"120","7975 North Hayden Road","Scottsdale","AZ","85258"
"121","7975 North Hayden Road","Scottsdale","AZ","85258"
"122","11440 North 136th Street","Scottsdale","AZ","85259"
"123","204 West Chandler Heights Road","Chandler","AZ","85248"
"124","7975 North Hayden Road","Scottsdale","AZ","85258"
"125","4810 E BEAVER CREEK RD","RIMROCK","AZ","86335"
"126","18052 North Black Canyon Highway","Phoenix","AZ","85053"
"127","4120 East Acoma Drive","Phoenix","AZ","85032"
"128","Gilbert, AZ Gilbert is a city in Maricopa county, Arizona","Gilbert","AZ",NA
"129","360 South Patagonia Street","Benson","AZ","85602"
"130","67488 Salome Road","Salome","AZ","85348"
"131","100 Old Douglas Road","Bisbee","AZ","85603"
"132","P.O. Box 97","Pinon","AZ","86510"
"133","3652 Blackwater School Road","Coolidge","AZ","85128"
"134","6000 East 14th Street","Tucson","AZ","85711"
"135","80 Turkey Creek Rd","Blue","AZ","85922"
"136","1200 W WHITE MOUNTAIN BLVD","LAKESIDE","AZ","85929"
"137","5651 West Talavi Boulevard","Glendale","AZ","85306"
"138","18008 S FORT GRANT RD","WILLCOX","AZ","85643"
"139","44936 Joshua Drive","Bouse","AZ","85325"
"140","315 5th Street","Bowie","AZ","85605"
"141","221 West 6th Avenue","Mesa","AZ","85210"
"142","400 North Andersen Boulevard","Chandler","AZ","85224"
"143","25555 West Durango Street","Buckeye","AZ","85326"
"144","1000 East Narramore Avenue","Buckeye","AZ","85326"
"145","1004 Hancock Road","Bullhead City","AZ","86442"
"146","4055 East Warner Road","Gilbert","AZ","85296"
"147","4055 East Warner Road","Gilbert","AZ","85296"
"148","1120 South Gilbert Road","Gilbert","AZ","85296"
"149","4744 West Grovers Avenue","Glendale","AZ","85308"
"150","9412 East Brown Road","Mesa","AZ","85207"
"151","7634 West Camelback Road","Glendale","AZ","85303"
"152","44301 West Maricopa-Casa Grande Highway","Maricopa","AZ","85138"
"153","410 Camp Lincoln Road","Camp Verde","AZ","86322"
"154","9965 West Calle Lejos","Peoria","AZ","85383"
"155","34630 School Loop Road","Black Canyon City","AZ","85324"
"156","3686 West Orange Grove Road","Tucson","AZ","85741"
"157","5260 North Royal Palm Drive","Tucson","AZ","85705"
"158","1300 N Centennial Blvd","Taylor","AZ","85939"
"159","16004 North 36th Drive","Phoenix","AZ","85053"
"160","899 East Plaza Circle","Yuma","AZ","85365"
"161","5220 West Indian School Road","Phoenix","AZ","85031"
"162","1500 West Maryland Avenue","Phoenix","AZ","85015"
"163","P.O. Box 10940","Bapchule","AZ","85121"
"164","220 West Kortsen Road","Casa Grande","AZ","85122"
"165","2730 North Trekell Road","Casa Grande","AZ","85122"
"166","2730 North Trekell Road","Casa Grande","AZ","85122"
"167","2101 East River Road","Tucson","AZ","85718"
"168","33016 North 60th Street","Scottsdale","AZ","85266"
"169","Mile Post 408 Hwy 264","Keams Canyon","AZ","86034"
"170","900 East Carmelita Drive","Sierra Vista","AZ","85635"
"171","1789 West Coolidge Avenue","Coolidge","AZ","85128"
"172","5801 West Greenbriar Drive","Glendale","AZ","85308"
"173","1315 North Greenfield Road","Gilbert","AZ","85234"
"174","3102 North 56th Street","Phoenix","AZ","85018"
"175","Chandler, AZ Chandler is a city in Maricopa county, Arizona","Chandler","AZ",NA
"176","P.O. Box 740","Kayenta","AZ","86033"
"177","Navajo Rte 7 & State Hwy 191","Chinle","AZ","86503"
"178","650 East Center Street","Chino Valley","AZ","86323"
"179","2323 West Parkside Lane","Phoenix","AZ","85027"
"180","4141 North 67th Avenue","Phoenix","AZ","85033"
"181","3102 North 56th Street","Phoenix","AZ","85018"
"182","47 East Pennington Street","Tucson","AZ","85701"
"183","Clarkdale, AZ Clarkdale is a city in Yavapai county, Arizona","Clarkdale","AZ",NA
"184","1500 West Sunset Drive","Superior","AZ","85173"
"185","1169 Colombo Avenue","Sierra Vista","AZ","85635"
"186","5025 North Bowie Avenue","Cochise","AZ","85606"
"187","1405 N. Grand Rd.","Willcox","AZ","85643"
"188","19 Poplar Street","Page","AZ","86040"
"189","2384 North Steves Boulevard","Flagstaff","AZ","86004"
"190","9 South La Creciente","Tucson","AZ","85711"
"191","325 Cottonwood Street","Colorado City","AZ","86021"
"192","1004 HANCOCK RD # 200","BULLHEAD CITY","AZ","86442"
"193","8250 E 22ND ST # 128","TUCSON","AZ","85710"
"194","551 1st Street","Prescott","AZ","86301"
"195","Hwy 61 and Cinder Rd","Concho","AZ","85924"
"196","142 North Date","Mesa","AZ","85201"
"197","26400 Tenderfoot Hill Road","Congress","AZ","85332"
"198","East Josephine Canyon Drive","Green Valley","AZ","85614"
"199","450 North Arizona Boulevard","Coolidge","AZ","85128"
