"","lea_street, City, lea_state, lea_zip","No_Match"
"528","1608 South Laguna Avenue, Parker, AZ, 85344","Match","Exact","1608 S LAGUNA AVE, PARKER, AZ, 85344","-114.2891,34.14278","129603042","L"
"649","7450 South 40th Street, Phoenix, AZ, 85042","Match","Exact","7450 S 40TH ST, PHOENIX, AZ, 85042","-111.99556,33.382412","243919346","R"
"408","4815 West Hunt Highway, Queen Creek, AZ, 85142","No_Match"
"529","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona, Phoenix, AZ, NA","No_Match"
"409","7420 East Main Street, Mesa, AZ, 85207","No_Match"
"650","2470 North Tucson Boulevard, Tucson, AZ, 85716","Match","Exact","2470 N TUCSON BLVD, TUCSON, AZ, 85716","-110.93535,32.25149","121155884","R"
"530","100 School Street, Patagonia, AZ, 85624","No_Match"
"651","850 West Valencia Road, Tucson, AZ, 85706","Match","Exact","850 W VALENCIA RD, TUCSON, AZ, 85706","-110.98286,32.13393","121185428","R"
"410","7420 East Main Street, Mesa, AZ, 85207","No_Match"
"531","500 North 3rd Avenue, Patagonia, AZ, 85624","Match","Exact","500 N 3RD AVE, PATAGONIA, AZ, 85624","-110.75817,31.542204","640027353","R"
"652","4301 West Fillmore Street, Phoenix, AZ, 85043","Match","Exact","4301 W FILLMORE ST, PHOENIX, AZ, 85043","-112.151985,33.45488","128841123","L"
"411","Maricopa, AZ Maricopa is a city in Pinal county, Arizona, Maricopa, AZ, NA","No_Match"
"532","Hwy 82, Patagonia, AZ, 85624","No_Match"
"653","210 South 1st Avenue, Yuma, AZ, 85364","Match","Exact","210 S 1ST AVE, YUMA, AZ, 85364","-114.62087,32.72384","129625033","R"
"412","Casa Grande, AZ Casa Grande is a city in Pinal county, Arizona, Casa Grande, AZ, NA","No_Match"
"533","18052 North Black Canyon Highway, Phoenix, AZ, 85053","Match","Exact","18052 N BLACK CANYON HWY, PHOENIX, AZ, 85053","-112.115265,33.649914","647554303","L"
"654","70 East Patton Street, Saint David, AZ, 85630","Match","Exact","70 E PATTON ST, SAINT DAVID, AZ, 85630","-110.22019,31.905275","120971493","R"
"413","Chandler, AZ Chandler is a city in Maricopa county, Arizona, Chandler, AZ, NA","No_Match"
"534","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona, Phoenix, AZ, NA","No_Match"
"655","450 South 13th West, Saint Johns, AZ, 85936","No_Match"
"414","Chandler, AZ Chandler is a city in Maricopa county, Arizona, Chandler, AZ, NA","No_Match"
"535","3404 N 56th Street, Scottsdale, AZ, 85255","No_Match"
"656","515 South Stanfield Road, Stanfield, AZ, 85172","Match","Exact","515 S STANFIELD RD, STANFIELD, AZ, 85172","-111.96369,32.871628","129285157","R"
"415","Chandler, AZ Chandler is a city in Maricopa county, Arizona, Chandler, AZ, NA","No_Match"
"536","19011 East San Tan Boulevard, Queen Creek, AZ, 85142","Match","Exact","19011 E SAN TAN BLVD, QUEEN CREEK, AZ, 85142","-111.67287,33.212116","637189867","L"
"657","3535 East McDowell Road, Phoenix, AZ, 85008","Match","Exact","3535 E MCDOWELL RD, PHOENIX, AZ, 85008","-112.0054,33.465694","128223294","R"
"416","Chandler, AZ Chandler is a city in Maricopa county, Arizona, Chandler, AZ, NA","No_Match"
"537","902 West Main Street, Payson, AZ, 85541","No_Match"
"658","44 East 5th Street, Mesa, AZ, 85201","Match","Exact","44 E 5TH ST, MESA, AZ, 85201","-111.831055,33.42398","128235044","L"
"417","Maricopa, AZ Maricopa is a city in Pinal county, Arizona, Maricopa, AZ, NA","No_Match"
"538","403 Diamond Creek Road, Peach Springs, AZ, 86434","Match","Exact","403 DIAMOND CREEK RD, PEACH SPRINGS, AZ, 86434","-113.424,35.53507","190256956","L"
"659","35812 North 7th Street, Phoenix, AZ, 85086","Match","Exact","35812 N 7TH ST, PHOENIX, AZ, 85086","-112.06544,33.811043","647532640","L"
"418","Chandler, AZ Chandler is a city in Maricopa county, Arizona, Chandler, AZ, NA","No_Match"
"539","2016 North First Street, Flagstaff, AZ, 86004","Match","Exact","2016 N 1ST ST, FLAGSTAFF, AZ, 86004","-111.61704,35.20791","188863482","R"
"419","Tucson, AZ Tucson is a city in Pima county, Arizona, Tucson, AZ, NA","No_Match"
"660","4560 South Coach Drive, Tucson, AZ, 85714","Match","Exact","4560 S COACH DR, TUCSON, AZ, 85714","-110.914185,32.16875","645509323","R"
"540","1 1/2 M. off Hwy 191 & Old Pea, Pearce, AZ, 85625","No_Match"
"661","16011 North Dysart Road, Surprise, AZ, 85374","Match","Exact","16011 N DYSART RD, SURPRISE, AZ, 85374","-112.34207,33.62837","128398591","R"
"420","Peoria, AZ Peoria is a city in Maricopa county, Arizona, Peoria, AZ, NA","No_Match"
"541","3802 North 91st Avenue, Phoenix, AZ, 85037","Match","Exact","3802 N 91ST AVE, PHOENIX, AZ, 85037","-112.25516,33.49125","640591090","L"
"662","2238 East Ginter Road, Tucson, AZ, 85706","Match","Exact","2238 E GINTER RD, TUCSON, AZ, 85706","-110.938,32.137695","121196414","R"
"300","4465 W Pecos Rd, Laveen, AZ, 85339","Match","Exact","4465 W PECOS RD, LAVEEN, AZ, 85339","-112.15571,33.290447","648993125","R"
"421","Chandler, AZ Chandler is a city in Maricopa county, Arizona, Chandler, AZ, NA","No_Match"
"542","7102 North 58th Drive, Glendale, AZ, 85301","Match","Exact","7102 N 58TH DR, GLENDALE, AZ, 85301","-112.18496,33.540756","128193027","L"
"663","1500 Panther Drive, Superior, AZ, 85173","No_Match"
"301","3998 W BALLPARK ST, THATCHER, AZ, 85552","No_Match"
"422","San Tan Valley, AZ San Tan Valley is a city in Pinal county, Arizona, San Tan Valley, AZ, NA","No_Match"
"543","6330 West Thunderbird Road, Glendale, AZ, 85306","Match","Exact","6330 W THUNDERBIRD RD, GLENDALE, AZ, 85306","-112.1955,33.610676","128174150","R"
"664","7229 North 13th Way, Phoenix, AZ, 85020","Match","Exact","7229 N 13TH WAY, PHOENIX, AZ, 85020","-112.051506,33.542824","128207467","R"
"302","1016 North Burk Street, Gilbert, AZ, 85234","Match","Exact","1016 N BURK ST, GILBERT, AZ, 85234","-111.7822,33.368664","128970152","L"
"423","Surprise, AZ Surprise is a city in Maricopa county, Arizona, Surprise, AZ, NA","No_Match"
"544","3738 North 16th Street, Phoenix, AZ, 85016","Match","Exact","3738 N 16TH ST, PHOENIX, AZ, 85016","-112.04765,33.48999","128209723","L"
"665","1301 East Almeria Road, Phoenix, AZ, 85006","Match","Exact","1301 E ALMERIA RD, PHOENIX, AZ, 85006","-112.05406,33.466682","128213352","R"
"303","7301 North 58th Avenue, Glendale, AZ, 85301","Match","Exact","7301 N 58TH AVE, GLENDALE, AZ, 85301","-112.183685,33.544117","128192998","R"
"424","Laveen, AZ Laveen is a city in Maricopa county, Arizona, LAVEEN, AZ, NA","No_Match"
"545","1903 East Roeser Road, Phoenix, AZ, 85040","Match","Exact","1903 E ROESER RD, PHOENIX, AZ, 85040","-112.04072,33.399643","637438814","R"
"666","P.O. Box 2002, Teec Nos Pos, AZ, 86514","No_Match"
"304","3102 N 56TH ST # 300, PHOENIX, AZ, 85018","Match","Non_Exact","3102 N 56TH ST, PHOENIX, AZ, 85018","-111.96089,33.48381","128222024","L"
"425","7720 N Silverlight Rd., Tucson, AZ, 85743","No_Match"
"546","1817 North 7th Street, Phoenix, AZ, 85006","Match","Exact","1817 N 7TH ST, PHOENIX, AZ, 85006","-112.06511,33.468464","128213063","R"
"667","2300 North Tanque Verde Loop Road, Tucson, AZ, 85749","Match","Exact","2300 N TANQUE VERDE LOOP RD, TUCSON, AZ, 85749","-110.75559,32.24961","646171237","R"
"305","7650 North 43rd Avenue, Glendale, AZ, 85301","Match","Exact","7650 N 43RD AVE, GLENDALE, AZ, 85301","-112.15159,33.54727","128355070","L"
"426","HC 61 Box D, Winslow, AZ, 86047","No_Match"
"547","1613 West Street Catherine Avenue, Phoenix, AZ, 85041","No_Match"
"668","3102 North 56th Street, Phoenix, AZ, 85018","Match","Exact","3102 N 56TH ST, PHOENIX, AZ, 85018","-111.96089,33.48381","128222024","L"
"306","7541 South Willow Drive, Tempe, AZ, 85283","Match","Exact","7541 S WILLOW DR, TEMPE, AZ, 85283","-111.91475,33.349895","128367933","L"
"427","19871 West Fremont Road, Buckeye, AZ, 85326","Match","Exact","19871 W FREMONT RD, BUCKEYE, AZ, 85326","-112.484085,33.381096","647418124","L"
"548","5312 North 12th Street, Phoenix, AZ, 85014","Match","Exact","5312 N 12TH ST, PHOENIX, AZ, 85014","-112.05625,33.513844","128208621","L"
"669","2598 Starlite Lane, Lake Havasu City, AZ, 86403","Match","Exact","2598 STARLITE LN, LAKE HAVASU CITY, AZ, 86403","-114.31719,34.491447","190281233","R"
"307","501 East Ash Street, Globe, AZ, 85501","Match","Non_Exact","501 W ASH ST, GLOBE, AZ, 85501","-110.79072,33.399326","159303662","R"
"428","1300 East Cedar Street, Globe, AZ, 85501","Match","Exact","1300 E CEDAR ST, GLOBE, AZ, 85501","-110.77663,33.40058","159352174","R"
"549","4502 North Central Avenue, Phoenix, AZ, 85012","Match","Exact","4502 N CENTRAL AVE, PHOENIX, AZ, 85012","-112.07378,33.50216","128208692","L"
"308","523 South 10th Avenue, Safford, AZ, 85546","Match","Exact","523 S 10TH AVE, SAFFORD, AZ, 85546","-109.71883,32.834084","638082077","L"
"429","4027 North 45th Avenue, Phoenix, AZ, 85031","Match","Exact","4027 N 45TH AVE, PHOENIX, AZ, 85031","-112.15594,33.493984","128198357","R"
"309","150 E 4th S, Pima, AZ, 85543","No_Match"
